"","state","state.name","middate","pollster","pollster_id","poll_grade","samplesize","population","clinton","trump","days.until"
"162","CA","California","8/20/16","SurveyMonkey",352,"C-",2574,"registeredvoters",49,28,80
"163","CA","California","8/20/16","Google Consumer Surveys",73,"B",1668,"likelyvoters",40.62,27.65,80
"164","CA","California","8/15/16","Ipsos",25,"A-",1203,"likelyvoters",63.14,26.06,85
"165","CA","California","8/13/16","Google Consumer Surveys",73,"B",1633,"likelyvoters",43.63,25.43,87
"166","CA","California","7/14/16","Public Policy Institute of California",11,"A",1056,"likelyvoters",46,30,117
"167","CA","California","6/20/16","Field Research Corporation (Field Poll)",2,"A+",495,"likelyvoters",50,26,141
"168","CA","California","6/9/16","SurveyMonkey",352,"C-",1264,"likelyvoters",54,28,152
"169","CA","California","6/1/16","YouGov",81,"B",1187,"likelyvoters",48,33,160
"170","CA","California","5/30/16","Marist College",8,"A",1833,"registeredvoters",55,31,162
"171","CA","California","5/28/16","Field Research Corporation (Field Poll)",2,"A+",1002,"likelyvoters",53,34,164
"172","CA","California","5/25/16","Greenberg Quinlan Rosner/American Viewpoint",61,"B+",1150,"likelyvoters",54,33,167
"173","CA","California","5/20/16","SurveyUSA",12,"A",1383,"likelyvoters",52,38,172
"174","CA","California","5/17/16","Public Policy Institute of California",11,"A",996,"likelyvoters",49,39,175
"175","CA","California","5/10/16","YouGov",81,"B",1196,"likelyvoters",45,33,182
"176","CA","California","4/28/16","SurveyUSA",12,"A",2011,"registeredvoters",56,34,194
"177","CA","California","4/1/16","SurveyUSA",12,"A",1507,"likelyvoters",60,26,221
"178","CA","California","3/29/16","Field Research Corporation (Field Poll)",2,"A+",1400,"registeredvoters",59,31,224
"179","CA","California","3/19/16","Greenberg Quinlan Rosner/American Viewpoint",61,"B+",1202,"likelyvoters",57,30,234
"180","CO","Colorado","10/17/16","Google Consumer Surveys",73,"B",600,"likelyvoters",44.08,25.6,22
"181","CO","Colorado","10/13/16","Ipsos",25,"A-",445,"likelyvoters",45.01,41.24,26
"182","CO","Colorado","10/13/16","Quinnipiac University",26,"A-",685,"likelyvoters",45,37,26
"183","CO","Colorado","10/12/16","Gravis Marketing",181,"B-",1226,"registeredvoters",44,39,27
"184","CO","Colorado","10/12/16","Magellan Strategies",302,"C",500,"likelyvoters",40,35,27
"185","CO","Colorado","10/12/16","CVOTER International",192,"C+",336,"likelyvoters",49.7,45.1,27
"186","CO","Colorado","10/12/16","SurveyMonkey",352,"C-",956,"likelyvoters",44,37,27
"187","CO","Colorado","10/12/16","Google Consumer Surveys",73,"B",496,"likelyvoters",42.95,23.66,27
"188","CO","Colorado","10/6/16","Ipsos",25,"A-",561,"likelyvoters",46.61,40.89,33
"189","CO","Colorado","10/6/16","Google Consumer Surveys",73,"B",529,"likelyvoters",41.46,25.52,33
"190","CO","Colorado","10/5/16","CVOTER International",192,"C+",338,"likelyvoters",49.8,44.3,34
"191","CO","Colorado","10/3/16","Gravis Marketing",181,"B-",1246,"registeredvoters",40,40,36
"192","CO","Colorado","9/30/16","Monmouth University",1,"A+",400,"likelyvoters",49,38,39
"193","CO","Colorado","9/30/16","Google Consumer Surveys",73,"B",558,"likelyvoters",38.58,28.19,39
"194","CO","Colorado","9/29/16","Ipsos",25,"A-",552,"likelyvoters",44.77,44.86,40
"195","CO","Colorado","9/28/16","Keating Research, Inc.",76,"B",602,"likelyvoters",44,33,41
"196","CO","Colorado","9/27/16","Public Policy Polling",60,"B+",694,"likelyvoters",46,40,42
"197","CO","Colorado","9/25/16","CVOTER International",192,"C+",553,"likelyvoters",48.3,46.6,44
"198","CO","Colorado","9/23/16","Google Consumer Surveys",73,"B",530,"likelyvoters",36.67,31.48,46
"199","CO","Colorado","9/22/16","CNN/Opinion Research Corp.",30,"A-",784,"likelyvoters",41,42,47
"200","CO","Colorado","9/22/16","Gravis Marketing",181,"B-",799,"registeredvoters",37,41,47
"201","CO","Colorado","9/22/16","Ipsos",25,"A-",463,"likelyvoters",43.25,45.22,47
"202","CO","Colorado","9/22/16","YouGov",81,"B",991,"likelyvoters",40,39,47
"203","CO","Colorado","9/18/16","CVOTER International",192,"C+",538,"likelyvoters",48.9,45.4,51
"204","CO","Colorado","9/17/16","Quinnipiac University",26,"A-",644,"likelyvoters",44,42,52
"205","CO","Colorado","9/17/16","Google Consumer Surveys",73,"B",550,"likelyvoters",40.6,28.49,52
"206","CO","Colorado","9/16/16","Franklin & Marshall College",45,"B+",350,"likelyvoters",41,34,53
"207","CO","Colorado","9/15/16","Ipsos",25,"A-",391,"likelyvoters",42.05,43.82,54
"208","CO","Colorado","9/11/16","Emerson College",119,"B",600,"likelyvoters",38,42,58
"209","CO","Colorado","9/10/16","Google Consumer Surveys",73,"B",603,"likelyvoters",36.23,28.93,59
"210","CO","Colorado","9/8/16","Ipsos",25,"A-",421,"likelyvoters",40.11,43.13,61
"211","CO","Colorado","9/3/16","Google Consumer Surveys",73,"B",626,"likelyvoters",37.36,28.53,66
"212","CO","Colorado","9/1/16","Ipsos",25,"A-",417,"likelyvoters",40.5,43.29,68
"213","CO","Colorado","8/30/16","Magellan Strategies",302,"C",500,"likelyvoters",41,36,70
"214","CO","Colorado","8/27/16","Google Consumer Surveys",73,"B",549,"likelyvoters",38.94,23.91,73
"215","CO","Colorado","8/22/16","Ipsos",25,"A-",495,"likelyvoters",44.57,38.55,78
"216","CO","Colorado","8/20/16","SurveyMonkey",352,"C-",2428,"registeredvoters",37,37,80
"217","CO","Colorado","8/20/16","Google Consumer Surveys",73,"B",512,"likelyvoters",40.49,23.95,80
"218","CO","Colorado","8/15/16","Ipsos",25,"A-",568,"likelyvoters",43.04,39.74,85
"219","CO","Colorado","8/13/16","Google Consumer Surveys",73,"B",552,"likelyvoters",36.77,27.97,87
"220","CO","Colorado","8/12/16","Quinnipiac University",26,"A-",830,"likelyvoters",41,33,88
"221","CO","Colorado","8/8/16","Ipsos",25,"A-",420,"likelyvoters",42.39,38.74,92
"222","CO","Colorado","8/7/16","Marist College",8,"A",899,"registeredvoters",41,29,93
"223","CO","Colorado","7/10/16","Fox News/Anderson Robbins Research/Shaw & Company Research",17,"A",600,"registeredvoters",37,28,121
"224","CO","Colorado","7/10/16","Monmouth University",1,"A+",404,"likelyvoters",48,35,121
"225","CO","Colorado","7/8/16","Marist College",8,"A",794,"registeredvoters",39,33,123
"226","CO","Colorado","7/8/16","Harper Polling",148,"B-",500,"likelyvoters",45,38,123
"227","CO","Colorado","6/22/16","YouGov",81,"B",996,"likelyvoters",40,39,139
"228","CO","Colorado","2/27/16","Keating Research, Inc.",76,"B",450,"likelyvoters",49,39,255
"229","CO","Colorado","11/13/15","Quinnipiac University",26,"A-",1262,"registeredvoters",37,48,361
"230","CT","Connecticut","10/17/16","Google Consumer Surveys",73,"B",344,"likelyvoters",40.38,33.37,22
"231","CT","Connecticut","10/12/16","CVOTER International",192,"C+",326,"likelyvoters",54.7,41.7,27
"232","CT","Connecticut","10/12/16","Google Consumer Surveys",73,"B",262,"likelyvoters",48.96,27.69,27
"233","CT","Connecticut","10/10/16","Ipsos",25,"A-",437,"likelyvoters",52.56,34.83,29
"234","CT","Connecticut","10/6/16","Google Consumer Surveys",73,"B",300,"likelyvoters",44.26,26.17,33
"235","CT","Connecticut","10/5/16","CVOTER International",192,"C+",331,"likelyvoters",54.4,41.6,34
"236","CT","Connecticut","10/3/16","Ipsos",25,"A-",505,"likelyvoters",53,36.07,36
"237","CT","Connecticut","9/30/16","Google Consumer Surveys",73,"B",312,"likelyvoters",44.46,26.58,39
"238","CT","Connecticut","9/29/16","Ipsos",25,"A-",352,"likelyvoters",53.48,35.23,40
"239","CT","Connecticut","9/25/16","CVOTER International",192,"C+",520,"likelyvoters",53.6,42.8,44
"240","CT","Connecticut","9/23/16","Google Consumer Surveys",73,"B",291,"likelyvoters",37.53,31.5,46
"241","CT","Connecticut","9/19/16","Ipsos",25,"A-",455,"likelyvoters",52.01,34.09,50
"242","CT","Connecticut","9/18/16","CVOTER International",192,"C+",512,"likelyvoters",53.7,41.9,51
"243","CT","Connecticut","9/17/16","Google Consumer Surveys",73,"B",307,"likelyvoters",39,31.8,52
"244","CT","Connecticut","9/12/16","Ipsos",25,"A-",440,"likelyvoters",47.33,37.36,57
"245","CT","Connecticut","9/10/16","Google Consumer Surveys",73,"B",304,"likelyvoters",41.81,26.44,59
"246","CT","Connecticut","9/5/16","Ipsos",25,"A-",456,"likelyvoters",47.21,37.48,64
"247","CT","Connecticut","9/3/16","Emerson College",119,"B",1000,"likelyvoters",50,35,66
"248","CT","Connecticut","9/3/16","Google Consumer Surveys",73,"B",310,"likelyvoters",38.56,26.41,66
"249","CT","Connecticut","8/29/16","Ipsos",25,"A-",428,"likelyvoters",45.75,40.14,71
"250","CT","Connecticut","8/27/16","Google Consumer Surveys",73,"B",309,"likelyvoters",40.68,25.54,73
"251","CT","Connecticut","8/22/16","Ipsos",25,"A-",358,"likelyvoters",47.04,39.13,78
"252","CT","Connecticut","8/20/16","SurveyMonkey",352,"C-",1053,"registeredvoters",44,33,80
"253","CT","Connecticut","8/20/16","Google Consumer Surveys",73,"B",327,"likelyvoters",43.88,26.51,80
"254","CT","Connecticut","8/15/16","Ipsos",25,"A-",387,"likelyvoters",49.91,37.43,85
"255","CT","Connecticut","8/13/16","Google Consumer Surveys",73,"B",301,"likelyvoters",41.81,26.61,87
"256","CT","Connecticut","8/8/16","Ipsos",25,"A-",358,"likelyvoters",49.73,36.71,92
"257","CT","Connecticut","6/3/16","Quinnipiac University",26,"A-",1330,"registeredvoters",41,36,158
"258","CT","Connecticut","4/10/16","Emerson College",119,"B",1043,"likelyvoters",48,40,212
"259","DC","District of Columbia","10/17/16","Google Consumer Surveys",73,"B",66,"likelyvoters",65.81,7.06,22
"260","DC","District of Columbia","10/12/16","CVOTER International",192,"C+",313,"likelyvoters",80.9,13.1,27
"261","DC","District of Columbia","10/12/16","Google Consumer Surveys",73,"B",62,"likelyvoters",58.06,21.25,27
"262","DC","District of Columbia","10/6/16","Google Consumer Surveys",73,"B",61,"likelyvoters",57.9,15.1,33
"263","DC","District of Columbia","10/5/16","CVOTER International",192,"C+",316,"likelyvoters",80.3,13.9,34
"264","DC","District of Columbia","9/30/16","Google Consumer Surveys",73,"B",64,"likelyvoters",62.21,9.8,39
"265","DC","District of Columbia","9/25/16","CVOTER International",192,"C+",488,"likelyvoters",78.9,14.4,44
"266","DC","District of Columbia","9/23/16","Google Consumer Surveys",73,"B",52,"likelyvoters",66.53,15.3,46
"267","DC","District of Columbia","9/18/16","CVOTER International",192,"C+",486,"likelyvoters",80.5,14.3,51
"268","DC","District of Columbia","9/17/16","Google Consumer Surveys",73,"B",73,"likelyvoters",43.22,28.46,52
"269","DC","District of Columbia","9/10/16","Google Consumer Surveys",73,"B",73,"likelyvoters",38.8,32.39,59
"270","DC","District of Columbia","9/3/16","Google Consumer Surveys",73,"B",66,"likelyvoters",47.85,21.78,66
"271","DC","District of Columbia","8/27/16","Google Consumer Surveys",73,"B",67,"likelyvoters",44.27,25.62,73
"272","DC","District of Columbia","8/20/16","Google Consumer Surveys",73,"B",58,"likelyvoters",54.01,22.16,80
"273","DC","District of Columbia","8/13/16","Google Consumer Surveys",73,"B",54,"likelyvoters",44.16,24.78,87
"274","DE","Delaware","10/17/16","Google Consumer Surveys",73,"B",113,"likelyvoters",37.21,28.18,22
"275","DE","Delaware","10/12/16","CVOTER International",192,"C+",315,"likelyvoters",55.5,41.6,27
"276","DE","Delaware","10/12/16","Google Consumer Surveys",73,"B",93,"likelyvoters",41.18,28.45,27
"277","DE","Delaware","10/10/16","Ipsos",25,"A-",121,"likelyvoters",47.83,33.89,29
